YearOfObservation,Insured_Period,Residential,Building_Painted,Building_Fenced,Garden,Settlement,Building Dimension,NumberOfWindows,Claim,Building_Age,Geo_Code_13201,Geo_Code_13204,Geo_Code_13205,Geo_Code_13206,Geo_Code_13207,Geo_Code_21231,Geo_Code_31555,Geo_Code_33063,Geo_Code_34172,Geo_Code_38185,Geo_Code_42218,Geo_Code_54395,Geo_Code_6083,Geo_Code_6088,Geo_Code_63113,Geo_Code_75116,Geo_Code_83137,Geo_Code_92004,Geo_Code_OTHER,Building_Type_2,Building_Type_3,Building_Type_4,Log_Building_Dimension,Protection_Score
2013,1.0,0,0,1,1,1,290.0,4.0,0,53.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,5.673323267171493,2
2015,1.0,0,1,0,0,0,490.0,4.0,0,165.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,6.19644412779452,1
2014,1.0,0,0,1,1,1,595.0,4.0,0,54.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,6.39024066706535,2
2013,1.0,0,1,1,1,1,2840.0,4.0,0,53.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,7.951911381854188,3
2014,1.0,0,1,0,0,0,680.0,3.0,0,214.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,6.523562306149512,1
2012,1.0,0,1,0,0,0,535.0,3.0,0,32.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,6.284134161070802,1
2012,1.0,0,0,1,1,1,2830.0,4.0,0,24.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,7.9483852851118995,2
2015,1.0,0,0,1,1,1,4952.0,4.0,0,27.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,8.507748732588238,2
2014,1.0,0,1,0,0,0,2735.0,3.0,1,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,7.914252278742441,1
2015,1.0,0,1,0,0,0,520.0,2.0,0,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,6.255750041753367,1
2013,0.24109589,0,1,0,0,0,550.0,3.0,0,53.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,6.311734809152915,1
2013,1.0,0,1,1,1,1,910.0,4.0,0,53.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,6.814542897259958,3
2013,1.0,0,1,0,0,0,842.0,4.0,0,463.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,6.736966958001855,1
2014,0.843835616,0,1,0,0,0,300.0,2.0,0,114.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,5.707110264748875,1
2012,1.0,0,0,1,1,1,560.0,4.0,0,52.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,6.329720905522696,2
2012,1.0,0,1,0,0,0,3326.0,4.0,1,5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,8.109826276018477,1
2014,1.0,0,0,1,1,1,3990.0,4.0,1,26.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,8.291797105048733,2
2015,1.0,0,0,1,1,1,3990.0,4.0,0,27.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,8.291797105048733,2
2015,1.0,0,1,0,0,0,2444.0,5.0,0,45.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,7.801800401908973,1
2016,1.0,0,1,0,0,0,2444.0,5.0,0,46.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,7.801800401908973,1
2016,0.956284153,0,1,0,0,0,1626.0,2.0,0,66.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,7.394493107219038,1
2016,0.99726776,0,1,0,0,0,2400.0,3.0,0,316.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,7.783640596221253,1
2012,1.0,0,1,0,0,0,250.0,4.0,0,112.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,5.5254529391317835,1
2012,1.0,1,1,0,0,0,2300.0,4.0,1,42.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,7.741099090035366,1
2016,0.99726776,0,0,1,1,1,600.0,4.0,0,36.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,6.398594934535208,2
2012,1.0,0,1,0,0,0,5439.0,4.0,0,36.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,8.601534339849989,1
2014,1.0,0,1,0,0,0,5439.0,4.0,1,38.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,8.601534339849989,1
2014,1.0,0,1,0,0,0,1100.0,4.0,0,114.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,7.00397413672268,1
2016,1.0,0,1,0,0,0,1200.0,5.0,0,76.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,7.0909098220799835,1
2012,1.0,0,1,0,0,0,552.0,5.0,0,62.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,6.315358001522335,1
2014,1.0,0,1,0,0,0,900.0,5.0,0,94.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,6.803505257608338,1
2013,1.0,0,1,0,0,0,370.0,3.0,1,31.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,5.916202062607435,1
2016,1.0,0,1,0,0,0,1400.0,3.0,0,56.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,7.244941546337007,1
2016,0.99726776,1,0,1,1,1,1000.0,4.0,0,56.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,6.90875477931522,2
2012,1.0,0,1,0,0,0,480.0,4.0,0,212.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,6.175867270105761,1
